Guid	Word	Reading	ContextHint
k:*OY=1)Cp	枝	えだ	木の幹から分かれて伸びる部分
xK|y)WU?}C	遭遇	そうぐう	偶然に人や出来事に出会うこと
"Muf<#5p:l]"	淡い	あわい	色や感情が強すぎず薄い様子
d0,].bZ}rW	季節	きせつ	春から冬までの一年の区分
q,4GEG{K5Q	捕らえる	とらえる	動くものをしっかりと掴まえること
gm>4lh}/i8	巡る	めぐる	ある場所の周りを回って進む
PV*HkO3AAd	蛇	へび	細長い体で這って移動する動物
u7;KIaOrQI	正義	せいぎ	ただしいとされる道筋のこと
c_`cV}a*w&	歓声	かんせい	嬉しさのあまり上がる大きなこえ
OC_]$)1<)K	継ぐ	つぐ	先代の仕事や立場を引き受ける
MVN[pz{AcU	丸	まる	縁が曲線で囲まれた形
eAISo<iCpy	跡	あと	何かがあった後に残る印
w|UvN1OwX*	領地	りょうち	支配下にあるとちの区域
MbeM|M<vJz	淡々	たんたん	感情を見せずに落ち着いた様子
yP14>p|zI=	吐息	といき	苦しそうに口から出る空気
PsBY7baBbV	指す	さす	方向を示すために手を伸ばす
"X,@:`Z#[o"	本音	ほんね	心の中でほんとうに思っていること
I_s3T@FO~t	鈍い	にぶい	感覚や動きが遅く鋭さがない状態
lO%4?UB4r.	教わる	おそわる	先生から知識や技術を習うこと
hnOwUWSPFl	叱る	しかる	悪い行動に対して厳しく注意する
"Geo#t_y,j)"	堪える	こらえる	辛さや痛みを我慢して耐える
r(wxQeZu;z	数える	かぞえる	物のかずを順番に調べること
sKiC5eKDZT	欲望	よくぼう	強いほしがる気持ちのこと
kc2;MN[tG3	仕える	つかえる	目上の人のために働くこと
quG++(7Hy?	豊か	ゆたか	足りていて余裕がある様子
k;$m_tZ*(8	探索	たんさく	未知の場所や物をさがし求める
Ma`Cj/SN2?	積極的	せっきょくてき	自分から進んで行動する様子
"i#(5i%hy%:"	針	はり	糸を通して布を縫うための細い道具
"H~NL6:g,}#"	酔う	よう	お酒を飲んでふらふらになる
m:S-fNV0na	排除	はいじょ	不要なものをとりのぞいて外にやる
Oq)SbY8g<@	髪の毛	かみのけ	頭の上に生える細い線状のもの
G|]fB.~N]R	成績	せいせき	学習や仕事の結果を示す評価
"K2[;X%`y#4"	姉妹	しまい	同じ親から生まれた女性の間柄
iu=9vXO|Tl	時折	ときおり	頻繁ではないがたまにある様子
bn5acM<-6u	初	はつ	物事のさいしょにあたること
"ce@d:]#]s!"	散々	さんざん	非常にひどい状況で大変な様子
b,Sq!ox~bJ	危うい	あやうい	悪い結果になりそうな様子
lX[^,UEtR1	倉庫	そうこ	物を大量に保管するための建物
v^/8W7|KVA	懐	ふところ	着物の胸のあたりの内側の部分
:m;!$S2L8	肝心	かんじん	いちばん大事なまんなかの部分
B7g$9Z^B`<	秋	あき	夏の次に来る涼しい季節
fbGIRl6Tj%	時刻	じこく	一日の中のある一点の瞬間
P(2^EmtZ.	凄まじい	すさまじい	勢いがとても激しい様子
vqj(ht|Uy0	曲がる	まがる	一直線ではなく折れまがる
Cx[x9X_Doq	液体	えきたい	流れる性質を持つ物質の状態
J62@VFsU$c	狩り	かり	野生の動物を追いかけて捕まえる
cF`Gz!Itkh	要る	いる	ないと困るのでひつようとすること
KxHv:|5d@R	落下	らっか	高い場所から低い場所へおちること
GiQQ;3&}B<	棚	たな	物をのせる板状の家具
eUrxe^JBAP	呪文	じゅもん	魔法を使うための特別な言葉
A=Lv=}roJR	幽霊	ゆうれい	死んだ人の魂が現れた姿
h}{*6p?no*	皮	かわ	動物や果物の表面を覆う薄い膜
ryyR`W+wk,	暖かい	あたたかい	寒すぎず熱すぎない快適な温度
"C7^i#`7]Re"	侍女	じじょ	貴族に仕えるおんなのこと
w+ca8.b6@f	美味い	うまい	食べてとても満足できる舌触り
d1:STj[/.o	詳細	しょうさい	ある事柄のこまかな部分までの中身
t<+QYjcs.5	微か	かすか	ほとんど感じられないほどの小ささ
d7aSXHzCGq	葉	は	木の枝先につく薄い緑の部分
lJn%nJ[hl2	裸	はだか	衣服を身に着けていない状態
g]MPjZ>;Gk	自宅	じたく	じぶんが住んでいる家のこと
hRkKLljIJW	足取り	あしどり	歩く時のあしの動きの様子
C`<?W>+7NF	被る	かぶる	帽子などを頭の上に乗せる
Q^4`(}_q!f	器	うつわ	物を入れるための入れ物全般
y7r9o|Q:k}	世間	せけん	一般の人々が暮らす社会の中
F*SCVmfy&:	慰める	なぐさめる	悲しむ人に優しい言葉をかける
w</6_!%8s3	羽	はね	鳥の体に生えている軽い器官
x~y4ZoOC.E	見据える	みすえる	じっと相手をみつめて離さない
Igt`<RO;)(	憎む	にくむ	相手を強く嫌い嫌悪すること
GoNE%Z=Ti|	裾	すそ	着物や服の下の端部分
I3nw_?;}C<	滅ぼす	ほろぼす	完全に存在をなくすこと
kVGsL_Ys2|	旅行	りょこう	観光のために遠くへ出かける
q[B9|}p@{S	故	ゆえ	そうである理由や事情のこと
FNb9/$bbg8	住人	じゅうにん	その場所にすんでいるひとびと
K8WtOt%MI%	世界中	せかいじゅう	地球全体のあらゆる場所
f!*1mQBag+	欠ける	かける	あるべき一部がなくなること
pD&eyLv.Q~	評判	ひょうばん	世間の人々の良い悪いの噂の内容
sbyQ*Da^om	等	とう	同じ種類のものをまとめた分類
qF3^j{w$}b	手放す	てばなす	持っていたものを腕から離す
q5$JnK@[&l	購入	こうにゅう	お金を払って品物を買うこと
gh_s5xg41;	備える	そなえる	将来のために必要なものを用意する
z5Hm$`!qo	新鮮	しんせん	とれたてで生き生きしている様子
h=wEV18X)V	餌	えさ	動物に与える食べ物のこと
BL]&od+mkX	桜	さくら	春に美しい花を咲かせる木
IPEjp+?7OB	不足	ふそく	必要な量にたりていないこと
"gej#!9jwZh"	修行	しゅぎょう	厳しい鍛錬を積んで技を磨くこと
"Q6>[=~wr*#"	載る	のる	物の上に乗った状態になる
"GW5p29#Ru#"	校舎	こうしゃ	がっこうの中にある建物全般
mUr:8}6EWW	述べる	のべる	自分の考えを言葉で伝えること
OR%}[(`tmo	罰	ばつ	悪いことをした時に受ける制裁
sG~>7]mc+h	早々	そうそう	すぐにその行動を開始する様子
xnJ.p(4@KD	王妃	おうひ	国のトップの妻になる女性の位
FW6_tNR?Vb	灰色	はいいろ	白と黒の中間の濃淡のこと
"g_)gP`!6#c"	賭ける	かける	勝敗に金やものをかけて争う
v<,Us2E3iN	薄暗い	うすぐらい	光が足りず全体がくらい様子
wMK!w9F5pb	負担	ふたん	責任や費用で重くのしかかるもの
wGsaMD0v)_	固定	こてい	動かないようにしっかり止めること
vL|(-JbW(9	方が良い	ほうがいい	複数の選択肢でもっと推奨される様子
g@Ljs/iQJk	袖	そで	衣服の腕を通すための筒部分
H^m?9[URB_	提供	ていきょう	相手に必要な物を差し出すこと
K336J>TeyW	木々	きぎ	森の中にたくさん生えている植物
"B<#m)9~KNQ"	沢山	たくさん	数や量が非常に多い様子
m9~>h3o)6g	単語	たんご	言葉の最小のまとまりの一つ一つ
BQ~Z=hte_2	所詮	しょせん	結局そうなると諦める気持ち
CBHck&MT1~	確率	かくりつ	物事が起こる可能性の数値
fj|:1_YyQz	困難	こんなん	解決するのがむずかしい状態
f39BL.7u->	塗る	ぬる	壁や板に液体を伸ばして付ける
yRhv$E5!mI	深呼吸	しんこきゅう	大きく息をすって吐く行為
Ft=.w(Xj=f	絞る	しぼる	力を入れて水分を取り出す
iyVj[/,V|~	旦那	だんな	結婚した相手の男性を呼ぶ言葉
l{@6hC.DM}	漫画	まんが	絵とセリフで物語を表現するもの
dQD3vd0uEU	興味深い	きょうみぶかい	知りたい気持ちが強く湧く様子
"C#WY`f<!jq"	成立	せいりつ	物事がうまくでき上がること
t:cL~(U|Kv	誘導	ゆうどう	目的の場所や方向へみちびくこと
E!t2~,q!/.	忠告	ちゅうこく	相手のためになる助言をすること
u+0Eh0%>wf	一般	いっぱん	特別でなく広く当てはまる様子
q*g9Q?_`v]	済み	ずみ	終わった状態であることの意味
IfT${P?>CQ	肯定	こうてい	相手の意見に同意すること
hyx$}(EYU`	一匹	いっぴき	小動物を数える単位のひとつ
LUi`qhr,yf	挙げる	あげる	物を高い位置に持ち上げる
Qo{PiV*7lM	後輩	こうはい	自分よりあとに入った仲間
"iY|*1IAj#-"	植物	しょくぶつ	根や葉を持って生きる生きもの
emq9~{.~0l	如く	しく	例えでまるで〜のようにという意味
KJ;C3HQP|u	優雅	ゆうが	品が良くて美しい様子
d!7L5i.aY_	昼食	ちゅうしょく	ひるの時間帯にとるたべもの
rpEmemAgOb	未だに	いまだに	現在もなお続いている状態
ygZK~<El}j	盛大	せいだい	規模がおおきく華やかな様子
B:UeH`9m=,	層	そう	何かが重なった段階のこと
Fz~~iG`{qG	争い	あらそい	意見が合わずに対立すること
k%lifPQtDc	理不尽	りふじん	筋が通らない納得できない様子
