M<mK|]yxAq	可笑しい	おかしい	違和感があって変だと思う	
fbr=-~!wOS	苛烈	かれつ	非常に厳しく激しい様子	
qgPAc^[2UQ	格好良い	かっこいい	見た目や態度が魅力的	
q|_ZWb@_i}	畏まる	かしこまる	丁寧な態度で控えめになる	
IXA+;jWi7t	峰	みね	山の一番高い頂上部分	
"NP4P#Dhc?}"	突っ走る	つっぱしる	勢いよく一直線に進む	
xmq!WS;4+b	幼稚園	ようちえん	小学校入学前に通う教育施設	
rq/S*TwDda	野暮	やぼ	洗練されておらず垢抜けない	
x=c$At*YvZ	思しき	おぼしき	〜のように見える。推測表現	
eBl?y.7ynA	私ども	わたくしども	自分のことを謙って言う	
OnmI~2l$kl	奮い立つ	ふるいたつ	勇気や意欲が湧き上がる	
lw!lk!01.p	お節介	おせっかい	余計なお世話を焼くこと	
jx]7ffQLa2	吹雪	ふぶき	強い風で雪が舞う現象	
Kdc)4kKVch	街灯	がいとう	道路を照らすための灯り	
L2*,w~!dkV	拘る	かかわる	ある一点にこだわり過ぎる	
FgW8kKhV4!	診る	みる	患者を調べて状態を判断	
oVC:|*|Cj)	名残	なごり	過ぎ去ったものの余韻	
Hy<XUafB^j	隠れ家	かくれが	秘密の避難所	
gz}b]4l~zh	暴露	ばくろ	秘密を外部に明かす	
F|,JGI0NRr	取り柄	とりえ	その人の優れた長所	
n([-;}.W!@	摂取	せっしゅ	栄養などを体内に取り入れる	
nB9Wp-;Y|x	皇	すめ	国の象徴であり君主	
qw.&_/7t4v	水泳	すいえい	水中を泳ぐスポーツ	
jB,@Jw}&g&	朽ちる	くちる	長い年月で徐々に傷む	
)K}oBX`x8	柔軟	じゅうなん	硬くなくしなやかな様子	
E=>66?P<*2	諸々	もろもろ	様々な物事のすべて	
z5ptp!HUvd	斜面	しゃめん	傾斜のある地面	
y$]<^k;:=4	質素	しっそ	贅沢をせず簡素な暮らし	
n3N1/x7tJ5	大仰	おおぎょう	大げさでわざとらしい様子	
"f>@Mp#50bC"	爪先	つまさき	足の指の先端部分	
DfZ>b3c@8E	宛	あて	送り先の名前や所在地	
D]m=c0_>^Y	災い	わざわい	不幸や悪い出来事	
n81MS5jXe0	千切れる	ちぎれる	細かく裂けて離れる	
j0ZRHl9$?v	説く	とく	分かりやすく説明する	
r>2q/iA!2i	恒例	こうれい	毎年同じように行う行事	
q*4hODDY&}	切羽詰まる	せっぱつまる	追い詰められて余裕がない	
r6|Js7c,4=	停まる	とまる	動いていたものが静止する	
"ewT#r1$/M{"	概ね	おおむね	だいたい。おおよそ	
dnLw[>FJsq	貯金	ちょきん	お金を銀行に預ける	
GE5B?:vML	手強い	てごわい	簡単には勝てない相手	
C4Ub:si{Y4	寄付	きふ	公益のために金品を贈る	
E[&i=E.d;I	叱責	しっせき	厳しく叱り咎める	
A=-dg?sgQ[	気に病む	きにやむ	心配して苦しく思う	
FT!ctMuK~%	多忙	たぼう	やる事が多くて忙しい	
A}=X!CmEQ3	性癖	せいへき	REVIEW_NEEDED	REVIEW_NEEDED: 性的指向を連想させる語。教材に適さない可能性
d:pQk|Pdbd	鉛	なまり	重くて柔らかい灰色の金属	
H70$F<[CsB	目障り	めざわり	視界に入って不快なもの	
KMsHdX.sKr	葬式	そうしき	亡くなった人のための儀式	
E2&+MDr9sO	開拓	かいたく	未開の地を切り開く	
Ig{d]Veo^y	御免	ごめん	謝罪や許可を求める言葉	
Ece5ze66%Q	翻訳	ほんやく	別の言語に直すこと	
dV^Y:@%PlS	尻餅をつく	しりもちをつく	滑って後ろに倒れ座り込む	
x%QT(a$dw>	聴覚	ちょうかく	音を聞き取る能力	
"l.0Ig#|rg9"	色彩	しきさい	物の色合いや配色	
C245BZCb57	雷鳴	らいめい	雷の轟く音	
K[@F9`.J16	物好き	ものずき	変わったことに興味を持つ	
I^m6jJp5ws	成就	じょうじゅ	願いや目標が実現する	
ow=Ma[]q%n	催促	さいそく	早くするよう迫る	
"fOSC<ga#gE"	即ち	すなわち	言い換えると。すなわち	
DAa8lBur@s	乗客	じょうきゃく	交通機関を利用する客	
m%/s<0?<<x	小細工	こざいく	目立たない程度のごまかし	
w}G,@D[@I*	近辺	きんぺん	その周辺の地域	
N%=COdf_*`	稼働	かどう	機械が実際に動いている	
e94FNPfd=+	発砲	はっぽう	銃を撃つ行為	
g6}J?s?r%R	朱	しゅ	やや黄みがかった鮮やかな赤	
pkDoeNKP=	腐敗	ふはい	有機物が腐って変質する	
lg@&s,PqF	日間	ひあい	日中互いに向き合う間柄	
tf.%al+W;9	欠伸	あくび	眠い時に口から出る仕草	
h_l9k](<jX	寛大	かんだい	心が広く細かい事を気にしない	
Cc]?dbh~]~	腕時計	うでどけい	腕に巻く携帯用の時計	
f?3*cM<~D3	慈しむ	いつくしむ	深い愛情を持ってかわいがる	
$D/ZZaz>O	還る	かえる	元の場所や状態に戻る	
o8zj7&b(hW	鉛筆	えんぴつ	芯で文字を書く筆記具	
m2jQH6+IDt	真珠	しんじゅ	貝殻の中でできる宝石	
nsI,(~Y|zM	図々しい	ずうずうしい	厚かましく遠慮がない様子	
M,nYmhrWqg	骨折	こっせつ	骨が折れてしまう怪我	
K.@KH`HvL_	税金	ぜいきん	国に納めるお金	
CU40a3ReNn	栄える	さかえる	勢いが盛んで繁盛する	
CsOZ0u2A:J	発つ	たつ	出発のために立ち去る	
TKp2We7[|	鎮座	ちんざ	落ち着いて場所にいる	
b*D0eXu_/$	彫る	ほる	刃物で削って形を作る	
r<rOSc$gK9	軍服	ぐんぷく	軍人が着る制服	
dRm*Z/}8C_	騒々しい	そうぞうしい	うるさく落ち着かない	
"IS=`26.ls#"	火種	ひだね	争いなどの原因となるもの	
i&2u@qQME:	焦らす	じらす	じらせて待たせる	
A]4CWUkUXB	扇	おうぎ	あおいで風を起こす道具	
D>|?dG`t[*	奔流	ほんりゅう	激しく流れる水流	
Q$utmq-|O/	不謹慎	ふきんしん	軽率で慎みを欠く様子	
ri-u|mONsX	私	わたし	自分を指す代名詞	
Qqi2{2oN%=	言う	いう	口に出して伝える	
J5^Rk^B+*2	思う	おもう	頭の中で考える	
"NAS1JEc#8`"	見る	みる	目を使って確かめる	
HLh<;YV>w:	俺	おれ	男が使う強い自己表現	
CJMrt.iN:G	行く	いく	ある場所へ向かう	
LR7/[;nx,N	何	なに	不明な物事を尋ねる語	
K&h%X(co}_	来る	くる	こちらに向かってくる	
Auq$sxJ%@{	今	いま	この瞬間の時間	
nV$t3f$PF6	自分	じぶん	話し手本人を指す	
my~btT{:^*	聞く	きく	耳で音を感じ取る	
uc@CION$-E	知る	しる	情報を理解し把握する	
he[03k.?v&	人	ひと	社会的な生き物の一種	
evZSdAuJDY	中	なか	範囲の内部	
ghTx|G?gZw	顔	かお	頭部前面の表情のある部分	
Np3r(pS_77	前	まえ	正面方向の空間	
Kqa>c0l3Gn	出る	でる	内部から外部へ移動する	
Gl[81(s~d=	考える	かんがえる	頭を働かせて論じる	
"E#cOSpA:Gu"	彼女	かのじょ	女性を指す三人称代名詞	
xS/MTLD@g.	話	はなし	言葉で交わす内容そのもの	
D*`/>4mfEV	本当	ほんとう	偽りのない事実	
x4SiUI:_&6	手	て	腕の先にある把握器官	
r;d[@U}k6|	待つ	まつ	人が来るのをじっとする	
o!{=@WY>~F	言葉	ことば	意思を伝えるための記号体系	
bK~U/>G7w2	入る	はいる	外から中へ移動する	
m)U*!>fq4?	様	さま	相手を敬って呼ぶときの語	
vkcJ|)T3RU	今日	きょう	現在のこの日	
m@t/G]_v}~	声	こえ	喉から発せられる音	
GX:!StPo30	持つ	もつ	手に取って保持する	
wc^[Azq=1c	目	め	光を感じる視覚器官	
jX[cQJa!^a	少し	すこし	数量や程度が少ない	
O5&cz<9&7P	違う	ちがう	比較して同一でない	
f:fP&eT:i2	方	ほう	向きや可能性を指し示す	
w5c4u~&EdV	男	おとこ	女性でない性別の人	
jkJp>Mu&(s	使う	つかう	道具や手段として用いる	
y,q7{M3n+3	時	とき	ある瞬間や期限を表す	
KQU+s3H2wh	分かる	わかる	内容を理解する	
GH08qUE!iG	僕	ぼく	男性がよく使う一人称	
HA,q_{XV=K	大丈夫	だいじょうぶ	問題がなく安全な様子	
JiE4=48svb	彼	かれ	男性を指す三人称代名詞	
uivp4QYetf	君	きみ	相手を親しみ込めて呼ぶ	
n?4Nv.`Ke	人間	にんげん	社会を形成する霊長類	
e:BD)u8*m/	同じ	おなじ	二つ以上に差異がない	
zQ0j2A;.Kx	部屋	へや	壁で区切られた室内空間	
eV&NA=H]WT	悪い	わるい	道徳や状態が良くない	
K1~v=.*9HZ	時間	じかん	過去から未来へ流れる概念	
s`iiuId>i_	作る	つくる	材料から新しく生み出す	
OSC//6}Cim	家	いえ	生活するための建造物	
p7vRpxe,8L	感じる	かんじる	刺激を五感で受け止める	
GXFbys(U5t	上	うえ	基準より高い位置	
z>PPw*mgkz	強い	つよい	力が大きく屈しない	
x,4cc8OafZ	出す	だす	内にあるものを外に送る	
i!{f]G;l}L	笑う	わらう	面白くて声を出す	
i<X{9FzSi/	一緒に	いっしょに	複数の者が同時に行う	
ut:ygaSba^	好き	すき	心が惹かれて好ましい	
b<N-[p2klb	力	ちから	物体を動かす源の量	
zC)Ac:s|Wd	世界	せかい	地球上の全ての地域	
pp=S45Q+a`	相手	あいて	一緒に物事をする他者	
"go4NU#gvEr"	姿	すがた	外から見える形状や様子	
zS2UYnnDnf	死ぬ	しぬ	生命活動が終わる	
Agt@WqfVb	事	こと	具体的でない内容やできごと	
A2XJm=}2OE	食べる	たべる	食物を口から体内に入れる	
EOpZLoPX<h	場所	ばしょ	特定の位置や区域	
"iS8_%(#uG."	早い	はやい	時間的な速度が速い	
Fmag7Y+*Ae	頭	あたま	体の一番上にある部分	
y[jNY+]&)!	戻る	もどる	元の場所や状態に帰る	
vf8qWwi[:y	二人	ふたり	二つの人間の組み合わせ	
GEn^SsXb;:	呼ぶ	よぶ	名前や声で相手を招く	
D>)8aQCm5q	続ける	つづける	中断せずにそのままやる	
w|*t,_g{v|	話す	はなす	言葉を使って伝える	
Dl/?]l0tP)	会う	あう	相手に面と向かって逢う	
hfJSlI.o~i	必要	ひつよう	なくてはならないこと	
