E}GG|*t8}U	麗しい	うるわしい	美しくて心惹かれる様子	
PCN:SY_igx	鉱山	こうざん	地下資源を掘り出す現場	
x]:;&Rs_s@	演説	えんぜつ	大勢の前で意見や主張を述べる	
ugf%Z3JmJg	丈	たけ	地面から上の端までの高さ	
F,?!An9a~n	悪気	わるぎ	わざと人を傷つけようとする心	
n@6V6jVKkA	痕	あと	何かがあった後に残った印	
"PJq#Y)H,Pt"	因縁	いんねん	前世からの深い関係や因果	
B;2Rg3I2O[	編む	あむ	糸やひもを交差させて作る	
LljEA>Ppp$	連なる	つらなる	一列に長く続いて並ぶ	
P(I:Hf2K6l	遡る	さかのぼる	過去に向かってさかのぼる	
LzALBcf2G/	富	とみ	財産や資源が豊かなこと	
v99.Dj/;*^	憂い	うれい	心配事があって晴れない気持ち	
Fh>w]P;X|$	舞踏会	ぶとうかい	貴族が集まって踊る社交の場	
jlcjFH_wxi	割く	さく	貴重な時間や資源を一部使う	
IB{-</_M%(	留学	りゅうがく	外国に行って学ぶこと	
gu`t_!w*Hm	苛む	さいなむ	精神的に苦しめ続ける	
bi+G->iVVw	手綱	たづな	馬を操るための革製のひも	
Ba/m*_uTQ9	石畳	いしだたみ	石を敷き詰めた道や床	
n]@bU6:}Yi	塀	へい	敷地の境に造る囲い	
eH9+Mu9Yu@	娯楽	ごらく	楽しみや気晴らしのための活動	
f~H*WE8!3m	堕ちる	おちる	良い状態から悪い方へ落ちる	
gVp/<=P~8h	邪	よこしま	正しくない道や悪意のある心	
mzQOriNDZb	圧迫	あっぱく	上から強い力で押し付ける	
EKZQ^*u23L	乾燥	かんそう	水分が抜けて完全に乾く	
Ia22MrwiTV	悪党	あくとう	悪事を働く者の集団	
d{El9S<8VH	競う	きそう	互いに勝ち負けを争う	
L,D2Y7)5$@	掲示板	けいじばん	情報を公開して貼り出す板	
rH7n8Ejrcm	禁忌	きんき	タブーとして禁じられている行為	
h[+-6C8Y%^	就く	つく	ある地位や役割に収まる	
lx)r,uTJ0v	米	こめ	日本の主食である穀物	
N<IBgM~-&Y	推す	おす	人や物を推薦すること	
mH-C&:rC_+	剥がす	はがす	表面に付いたものをはぎ取る	
Ok5cw5f1Je	井戸	いど	地面を掘って水をくみ出す設備	
jLl@e&*]i&	漁る	あさる	あちこち探しまわる	
D]5cWjH`-)	遂行	すいこう	任務や計画を最後までやり遂げる	
p5FTH{Y`U0	簡潔	かんけつ	余計な言葉を省いて短くまとめる	
e8.Wb%aJ0Z	克服	こくふく	困難や弱点を乗り越える	
POV2m(4Fff	電源	でんげん	電気機器に電気を供給する元	
tE[p>2NIff	競争	きょうそう	互いに優位を目指して張り合う	
B_|)^)~`y6	満喫	まんきつ	思う存分楽しみ味わう	
tRuP;kWwb-	節	ふし	細長いものの区切り目	
uEY(zP;.>^	殺る	やる	命を奪う。口語表現	REVIEW_NEEDED: やる（殺る）は口語的。文脈注意
fbpyu9=gsj	赤面	せきめん	恥ずかしさで顔が赤くなる	
tZ<T&6h-ND	挙句	あげく	色々あった末に結局	
iz-c|I|Ha1	同胞	どうほう	同じ国や仲間の人々	
P+DKu!3Yno	精鋭	せいえい	選び抜かれた特に優れた者	
w?*n0c*A&w	遂に	ついに	長い時間を経てとうとう	
DoE72S.5LX	苦悩	くのう	深く悩んで苦しむこと	
qC;NNmEpbr	巻	かん	書物や映画の区切り単位	
b5^7_=sS&L	殿方	とのがた	男性たちを丁寧に呼ぶ尊敬語	
soDEG4|=LK	酸素	さんそ	生物の呼吸に必要な気体	
H1k5LyJb)H	最奥	さいおう	場所の最も奥まった部分	
J4:oJWO?x6	目尻	めじり	目の端の外側の部分	
l|eY24f&7`	白髪	しらが	加齢などで色素が抜けた髪	
iZ8=7k_d^A	幼女	ようじょ	年端もいかない女の子	
Ahc`D<&^d=	八つ当たり	やつあたり	関係ない人に怒りをぶつける	
HhpD<D<?v;	迅速	じんそく	ためらわずに素早く行動する	
va&Dr<g<>E	世間話	せけんばなし	日常生活のどうでも良い話	
"ON#QQfZUI-"	裁く	さばく	争いや罪を判断する	
"hcy8!1=em#"	二十歳	はたち	大人として認められる年齢	
e};t8FZ_6u	禍々しい	まがまがしい	不吉な雰囲気が漂っている	
MuM=fM3gTk	清潔	せいけつ	汚れがなく衛生的な状態	
ARP4D0lW8%	気圧される	けおされる	相手の迫力に押し負ける	
dYLwKRiq%k	合宿	がっしゅく	共同で泊まり込んで集中的に行う	
z*t=VX<G)k	数多	あまた	とてもたくさんの数を表す	
AVIsP|}r!.	永久	えいきゅう	ずっと変わらず続くこと	
ek(+qxeCow	射る	いる	弓や銃で目標を狙って放つ	
JON)=i(Vpr	隔離	かくり	他から遠ざけて分ける	
c=R$hgIbe;	葬る	ほうむる	亡くなった人の遺体を地に納める	
"M#B-e%?>}N"	畳む	たたむ	布や紙を折り重ねて小さくする	
d$KF@cUd-1	辛うじて	かろうじて	やっとのことで何とか	
f%*+o6UJxD	畜生	ちくしょう	怒りや悔しさの叫び	REVIEW_NEEDED: 罵倒語。使用文脈に注意
r9*)F3cy;T	活気	かっき	元気があって賑わっている様子	
OctMaFGg>:	糧	かて	生きるために欠かせないもの	
xZH6+<]DEk	蔑む	さげすむ	相手を低く見て軽んじる	
A;C/-UmmgZ	蓄える	たくわえる	少しずつためて置く	
P/O)|7B+>h	一月	いちがつ	年の初めの最初の月	
n7]<;N4+mx	沸騰	ふっとう	液体が激しく熱せられて泡立つ	
CkG(H|^-/T	捕縛	ほばく	縄などで自由を奪う	
pfJAD>iTT9	物語る	ものがたる	事実や証拠が何かを示す	
wzWH*5?KGd	忍者	にんじゃ	戦国時代の諜報や暗殺の職	
t-.VCda@rA	疎い	うとい	詳しくなくてよく知らない	
rbCVx(_9IN	臨時	りんじ	その時だけの仮の措置	
l4IC~}-fV]	笛	ふえ	穴に息を通して音を出す楽器	
OaYk.R`nyu	闘う	たたかう	全力で戦い争う	
"in=#BPH0K!"	詩	し	感情や風景を言葉で表現した文	
qHcbWMmWvh	和らぐ	やわらぐ	緊張や痛みが穏やかになる	
"fsW-I[#Zo{"	垣間見る	かいまみる	少しだけちらりと見る	
rM:RC@AxBn	桃	もも	春に咲く花の実で夏に熟す	
xvgbG{p5lK	勃起	ぼっき	性的に興奮して硬くなる	REVIEW_NEEDED: 語の性質上、教材に適さない可能性
Ja5?DTtCI|	滅茶苦茶	めちゃくちゃ	無茶でめちゃくちゃな様	REVIEW_NEEDED: ヒントに読みを含む懸念。要確認
K:H^`_relC	手帳	てちょう	予定やメモを書き留める小さい本	
w+ag`3z7/O	疲弊	ひへい	疲れ切って力がなくなる	
"D~s<.4##wU"	世紀	せいき	百年間という時間の単位	
d0m63opb]k	危惧	きぐ	悪い結果を心配する気持ち	
ljnlyC6oCi	真に	まことに	偽りがなく心からそう思う	
kgRcg)1O-v	臭	しゅう	不快に感じる匂いのこと	
"g#Pokc>WnX"	砂浜	すなはま	海岸にある砂の広がった場所	
DL0O$&9.MQ	湯船	ゆぶね	風呂の湯を入れて浸かる容器	
j>6;H(a`3{	剥き出し	むきだし	覆いがなくて中身が見えている	
r^{0$nJ!jR	染み	しみ	液体が沁みてできた汚れの跡	
"vR.dMyW##F"	今日中に	きょうじゅうに	本日のうちに終わらせる	
l@]yyE}UrS	独り占め	ひとりじめ	一人だけで全てを支配する	
uQZy/w*{mc	賞	しょう	優れた成果に与えられる称賛	
qU^?U29p*>	五つ	いつつ	物の数を数える時の基本の数	
J^r>+2%FKr	増加	ぞうか	数や量が増えること	
QVfCZHT}zL	後々	のちのち	現在より後の未来の時点	
k;nGGkT|Zm	養う	やしなう	成長するように世話をする	
E-6n59B5Qb	選挙	せんきょ	投票で代表者を選ぶ制度	
F]5KpC_<??	侵す	おかす	他者の領域に不当に入る	
ryNOQ|?HI^	続行	ぞっこう	中断せずにそのまま続ける	
mM+rP`^Vz&	貯める	ためる	少しずつ集めて増やす	
em1jOFi4AC	寝床	ねどこ	夜に寝るための場所や布団	
pvwyfKJM|h	彼等	かれら	複数の男性や人々を指す代名詞	
cq)/xX}Y@c	駐車場	ちゅうしゃじょう	車を停めて置くための場所	
"Q#/u*4IT&f"	輸送	ゆそう	人や物を運ぶこと	
"cU#i+t{}[."	雄	おす	動物の性別でメスでない方	
u$=`!;+VYf	十歳	じゅっさい	生まれて十年目の年齢	
"NyqSjX#/M"	操縦	そうじゅう	機械や乗り物を操作すること	
"I#^q_!2VN("	粘膜	ねんまく	体内の器官を覆う湿った組織	
wS+6~6z{$8	店舗	てんぽ	商品を売るための建物や場所	
gi`Hyqw(L9	狙撃	そげき	標的を遠くから狙い撃つ	
Hqjj8Qk1>_	心地良い	ここちよい	体や心に気持ちよく感じる	
"m<po#9q~b-"	赤黒い	あかぐろい	赤みがかって黒っぽい色	
qu4R^ejQ)a	燃料	ねんりょう	燃やして熱や動力の源にする	
LV%@Hr[M1=	経済	けいざい	お金や資源の生産や消費の仕組み	
ud]-OJwI(c	十七	じゅうしち	十に七つ足した数字	
QFrNke0v3-	今宵	こよい	今夜のこと。やや古風な表現	
"QE75WT*(2#"	焦点	しょうてん	議論や関心が集まる中心点	
"Nju3AE;U}#"	源	みなもと	物事の始まりや生まれるところ	
r,0?m7(BVt	朗らか	ほがらか	明るくて元気の良い様子	
QaI!m~Ke1D	潔い	いさぎよい	未練がなくてさっぱりしている	
"bHIf#/Mmbl"	視る	みる	注意して目を向けて見る	
JD|N[|]3.^	懸ける	かける	全てを賭けて挑む	
P%d;p=SFaf	衰える	おとろえる	力や勢いが次第に弱まる	
iq^2hL;G`T	増幅	ぞうふく	信号や力を大きくすること	
eG5IkM;n1E	子孫	しそん	何代か後の自分の血を引く者	
z$Ws{(`r?@	木箱	きばこ	木材でできた入れ物	
cALN1i^OJ.	中枢	ちゅうすう	組織や機能の中心的な部分	
H_]ZW1Ku;:	批判	ひはん	物事の良し悪しを指摘する	
O<)RAe!;x<	速攻	そっこう	すぐに行動に移すこと	
d5<$auwhO(	海岸	かいがん	陸と海の境目の土地	
CzY-E??U$Y	霧散	むさん	あっけなく消え去ること	
MKEcN/p3w2	畳	たたみ	和室の床に敷く藁製の敷物	
EWBR6MZ`h1	携える	たずさえる	手に持って一緒に連れて行く	
NA,CJ@1b6@	清々しい	すがすがしい	気分がすっきりして気持ち良い	
i6x/+v?|Hf	待ち伏せ	まちぶせ	隠れて相手が来るのを待つ	
hyzkd1Ea-F	殻	から	中身を包む硬い外側の部分	
k[(BB,I>*+	悠長	ゆうちょう	ゆったりとのんびりしている	
fufKe^OM9!	荒野	こうや	草木がなく広がる荒れた土地	
"mIa6[VDmJ#"	下に	しもに	上部ではなく下部の位置	
K:E!:B}m]{	歯車	はぐるま	周囲に歯がついていて噛み合う車	
H|cdtJV1NL	喪失	そうしつ	大切なものを失うこと	
"Fa>VD0o!#3"	隅々	すみずみ	端から端まですべての場所	
i~6_qBwH^`	真っ二つに	まっぷたつに	真ん中からまっぷたつに切る	
zz3<i0k*1`	隔てる	へだてる	間に壁や距離を作って分ける	
P/^8C?6(}n	隠蔽	いんぺい	事実を隠して見えないようにする	
KvMMa$zEoH	修羅場	しゅらば	激しい争いや混乱の現場	
jU]E:I%c|6	煙草	たばこ	葉を乾燥させて吸う嗜好品	
Nho|%3HT5|	記載	きさい	書類に書き記すこと	
kRh3[:),0*	別荘	べっそう	普段住む家とは別の休暇用の家	
zQmwL^Rg+|	生憎	あいにく	都合が悪くて残念な様子	
v83?~ob+6I	腕組み	うでぐみ	両腕を胸の前で組む仕草	
duDP[X}-F8	鋼鉄	こうてつ	非常に硬くて強い鉄の合金	
EJk7zMHeTd	陥れる	おとしいれる	罠にかけて悪い状態にする	
H&=i>M5azC	露わ	あらわ	隠されていたものが見える状態	
th0gpnKZNS	嘲笑う	あざわらう	相手を馬鹿にして笑う	
Ek!F?OL-8/	遠征	えんせい	遠くの目的地に出かけていく	
QBh>KWya~&	革命	かくめい	体制や考え方が根本から変わる	
o3g;Vvmg]&	浴衣	ゆかた	夏に着る軽い和装の衣服	
ExwgS-M{xo	潮	しお	海の水の満ち引きや海水	
tT*c3VmrlM	薪	まき	燃やすための木や枝	
OE*MaPgYu;	襟	えり	衣服の首の周りの部分	
K?j,y[MWfP	編成	へんせい	複数のものを組み合わせて組織する	
F{Rq]JYCr3	帯	おび	着物の上に巻く細長い布	
e;({`O_`V6	月光	げっこう	夜に月が照らす光	
oDZLe.pY(:	花壇	かだん	花を植えるために区切られた場所	
l$X>Lw!2I[	童貞	どうてい	性経験がない男性	REVIEW_NEEDED: 性的な語。教材に適さない可能性
QfWN-0hi+6	穏便	おんびん	穏やかで角が立たない様子	
Cy0_[kSmfu	細胞	さいぼう	生物のからだを構成する最小単位	
GXXfC:9-j&	感慨	かんがい	心に深く感じる気持ち	
"pbIjT,#cZf"	恋心	こいごころ	異性に対する特別な愛情	
K_GGr<MFb&	司る	つかさどる	その役割を統括して受け持つ	
tw2Q_<EZ(Z	十日	とおか	月の初めから十番目の日	
e^u+2_z*xp	混む	こむ	人や物がたくさん集まる	
Pa//nc0EQ-	悪寒	おかん	病気の時に感じる寒気	
x1eu.]89&+	虹	にじ	雨上がりの空に架かる七色の弧	
qS7+<K4Nwd	勇敢	ゆうかん	恐れずに立ち向かう様子	
f)HsF?AJYT	渇く	かわく	水分が足りずに喉が乾く	
"Q7nx76M2/#"	巧み	たくみ	技術が優れて上手な様子	
gd/}mV!&J!	項垂れる	うなだれる	落ち込んで首を前に倒す	
Kz%SKRYd_a	最早	もはや	もう既に。今となっては	
f_!H1r4di6	記述	きじゅつ	文章にして書き表すこと	
I_^Xrh;1Sw	竹	たけ	細くて丈夫な節のある植物	
H[B[wx3n:;	癒える	いえる	傷や痛みが治って元に戻る	
QoX$F565_O	審判	しんぱん	勝負の判断をする人や判定	
Gc3n^+iUCx	恭しい	うやうやしい	礼儀正しく丁寧な態度	
L^dJ~8hp9r	勤務	きんむ	会社などで仕事をすること	
Q/n1lzH|FW	火炎	かえん	燃え上がる激しい火	
"b*tR#@;d~u"	塾	じゅく	学校の勉強を補う学習施設	
D~2f=5uhM	鍛冶	かじ	金属を熱して打ち道具を作る	
q~Cdmf?1V!	分際	ぶんざい	身分や立場に見合った程度	
lSFc{cB:B?	戯言	たわごと	価値のないふざけた言葉	
hAvhy]s+X*	恩返し	おんがえし	受けた親切に対して報いる	
DEIF?:}h<y	狭間	はざま	二つのものの間の空間	
u:$,m{;@4[	竜巻	たつまき	空から細く伸びる強い旋風	
mz2eqGjf}U	宴会	えんかい	大人数で飲食して楽しむ会	
p1]j!6jjns	何千	なんぜん	一千の何倍もの数を表す	
kr_PnFH=[s	高揚	こうよう	気持ちが高ぶって盛り上がる	
z5pVn2={5<	鎮める	しずめる	騒ぎや痛みを静める	
eged]suVeq	愛でる	めでる	美しさや可愛さを味わい楽しむ	
ctFX;!8.1+	次ぐ	つぐ	先のものに続いて起こる	
v*3tD6Ai1I	旋回	せんかい	回転しながら方向を変える	
bU?:RWr+VJ	ご無沙汰	ごぶさた	久しく連絡や訪問をしていない	
OLB6A|~2NL	軒	けん	家屋の数える単位	
Mj~FZAk+$1	衝撃波	しょうげきは	爆発などで空気が伝わる振動	
G1}YD0HrT3	言い難い	いいがたい	口に出して言いにくい	
f0&jj]ZG1-	削ぐ	そぐ	表面を薄く削り取る	
kuZ1Tay?Gw	品物	しなもの	売買される個々の商品	
QTl*BjMVUu	粘る	ねばる	粘り気があってくっつく	
qx7~,ivv))	家臣	かしん	君主に仕える者の総称	
EMZ|Pv&Tf,	鶏	にわとり	朝に鳴く鳥。卵を産む	
tcGh:*<dS	ご覧になる	ごらんになる	見るの尊敬語。相手が見る	
t3P;Y.yR/2	疾走	しっそう	物凄い速さで走ること	
oWh7|i6mn~	愛想	あいそ	人に対する気さくな態度	
q3!:{t]{Tw	因果	いんが	原因と結果の関係	
N(:YbEL/U^	溝	みぞ	地面に掘った細長い窪み	
y(Itu|]2N_	寺	じ	仏像を安置する宗教建築	
HewbK|NsnL	掌握	しょうあく	完全に手中に収めて支配する	
B$5(uLo[sJ	か否か	かいなか	そうであるかそうでないか	
d{Y}-x$wA3	災厄	さいやく	不幸や被害をもたらす出来事	
nV0?rR.}!_	交じり	まじり	異なるものが中に混ざること	
"JPF#!kG]_-"	身支度	みじたく	出かける準備を整える	
"DAW~RAQ#d}"	破綻	はたん	計画や状態が壊れて崩れる	
F?JYcAiXC:	労働	ろうどう	体や頭を使って働くこと	
JYa6z2!ld.	需要	じゅよう	人々が求めて欲しがる量	
B&LDrhCG;)	虜	とりこ	魅力に負けて夢中になった者	
"IBVU=dgQt#"	実る	みのる	植物が実をつけて成熟する	
bZl;_W@V:n	煮込む	にこむ	材料を汁の中で長時間熱する	
FRKlfw-7A;	潜伏	せんぷく	姿を隠してじっとしている	
g$E1q9_cl%	仰け反る	のけぞる	体を後ろに大きく反らす	
Jglr>3xeGl	研ぎ澄ます	とぎすます	刃や感覚を鋭く磨き上げる	
"qj/4cN95L#"	哀しい	かなしい	心が痛んで悲しい気持ち	
K`MI28l,55	赤毛	あかげ	赤みがかった髪の毛	
A!BE+Ep3q_	紅潮	こうちょう	興奮や照れで顔が赤くなる	
yBvfkt*j3N	食糧	しょくりょう	食べ物の材料となる物資	
