"Index","Guid","Word","Reading","Tags"
"1933","pfJAD>iTT9","物語る","ものがたる",""
"1934","wzWH*5?KGd","忍者","にんじゃ",""
"1935","t-.VCda@rA","疎い","うとい",""
"1936","rbCVx(_9IN","臨時","りんじ",""
"1937","l4IC~}-fV]","笛","ふえ",""
"1938","OaYk.R`nyu","闘う","たたかう",""
"1939","""in=#BPH0K!""","詩","し",""
"1940","qHcbWMmWvh","和らぐ","やわらぐ",""
"1941","""fsW-I[#Zo{""","垣間見る","かいまみる",""
"1942","rM:RC@AxBn","桃","もも",""
"1943","xvgbG{p5lK","勃起","ぼっき",""
"1944","Ja5?DTtCI|","滅茶苦茶","めちゃくちゃ",""
"1945","K:H^`_relC","手帳","てちょう",""
"1946","w+ag`3z7/O","疲弊","ひへい",""
"1947","""D~s<.4##wU""","世紀","せいき",""
"1948","d0m63opb]k","危惧","きぐ",""
"1949","ljnlyC6oCi","真に","まことに",""
"1950","kgRcg)1O-v","臭","しゅう",""
"1951","""g#Pokc>WnX""","砂浜","すなはま",""
"1952","DL0O$&9.MQ","湯船","ゆぶね",""
"1953","j>6;H(a`3{","剥き出し","むきだし",""
"1954","r^{0$nJ!jR","染み","しみ",""
"1955","""vR.dMyW##F""","今日中に","きょうじゅうに",""
"1956","l@]yyE}UrS","独り占め","ひとりじめ",""
"1957","uQZy/w*{mc","賞","しょう",""
"1958","qU^?U29p*>","五つ","いつつ",""
"1959","J^r>+2%FKr","増加","ぞうか",""
"1960","QVfCZHT}zL","後々","のちのち",""
"1961","k;nGGkT|Zm","養う","やしなう",""
"1962","E-6n59B5Qb","選挙","せんきょ",""
"1963","F]5KpC_<??","侵す","おかす",""
"1964","ryNOQ|?HI^","続行","ぞっこう",""
"1965","mM+rP`^Vz&","貯める","ためる",""
"1966","em1jOFi4AC","寝床","ねどこ",""
"1967","pvwyfKJM|h","彼等","かれら",""
"1968","cq)/xX}Y@c","駐車場","ちゅうしゃじょう",""
"1969","""Q#/u*4IT&f""","輸送","ゆそう",""
"1970","""cU#i+t{}[.""","雄","おす",""
"1971","u$=`!;+VYf","十歳","じゅっさい",""
"1972","""NyqSjX#/M""","操縦","そうじゅう",""
"1973","""I#^q_!2VN(""","粘膜","ねんまく",""
"1974","wS+6~6z{$8","店舗","てんぽ",""
"1975","gi`Hyqw(L9","狙撃","そげき",""
"1976","Hqjj8Qk1>_","心地良い","ここちよい",""
"1977","""m<po#9q~b-""","赤黒い","あかぐろい",""
"1978","qu4R^ejQ)a","燃料","ねんりょう",""
"1979","LV%@Hr[M1=","経済","けいざい",""
"1980","ud]-OJwI(c","十七","じゅうしち",""
"1981","QFrNke0v3-","今宵","こよい",""
"1982","""QE75WT*(2#""","焦点","しょうてん",""
"1983","""Nju3AE;U}#""","源","みなもと",""
"1984","r,0?m7(BVt","朗らか","ほがらか",""
"1985","QaI!m~Ke1D","潔い","いさぎよい",""
"1986","""bHIf#/Mmbl""","視る","みる",""
"1987","JD|N[|]3.^","懸ける","かける",""
"1988","P%d;p=SFaf","衰える","おとろえる",""
"1989","iq^2hL;G`T","増幅","ぞうふく",""
"1990","eG5IkM;n1E","子孫","しそん",""
"1991","z$Ws{(`r?@","木箱","きばこ",""
"1992","cALN1i^OJ.","中枢","ちゅうすう",""
"1993","H_]ZW1Ku;:","批判","ひはん",""
"1994","O<)RAe!;x<","速攻","そっこう",""
"1995","d5<$auwhO(","海岸","かいがん",""
"1996","CzY-E??U$Y","霧散","むさん",""
"1997","MKEcN/p3w2","畳","たたみ",""
"1998","EWBR6MZ`h1","携える","たずさえる",""
"1999","NA,CJ@1b6@","清々しい","すがすがしい",""
"2000","i6x/+v?|Hf","待ち伏せ","まちぶせ",""
"2001","hyzkd1Ea-F","殻","から",""
"2002","k[(BB,I>*+","悠長","ゆうちょう",""
"2003","fufKe^OM9!","荒野","こうや",""
"2004","""mIa6[VDmJ#""","下に","しもに",""
"2005","K:E!:B}m]{","歯車","はぐるま",""
"2006","H|cdtJV1NL","喪失","そうしつ",""
"2007","""Fa>VD0o!#3""","隅々","すみずみ",""
"2008","i~6_qBwH^`","真っ二つに","まっぷたつに",""
"2009","zz3<i0k*1`","隔てる","へだてる",""
"2010","P/^8C?6(}n","隠蔽","いんぺい",""
"2011","KvMMa$zEoH","修羅場","しゅらば",""
"2012","jU]E:I%c|6","煙草","たばこ",""
"2013","Nho|%3HT5|","記載","きさい",""
"2014","kRh3[:),0*","別荘","べっそう",""
"2015","zQmwL^Rg+|","生憎","あいにく",""
"2016","v83?~ob+6I","腕組み","うでぐみ",""
"2017","duDP[X}-F8","鋼鉄","こうてつ",""
"2018","EJk7zMHeTd","陥れる","おとしいれる",""
"2019","H&=i>M5azC","露わ","あらわ",""
"2020","th0gpnKZNS","嘲笑う","あざわらう",""
"2021","Ek!F?OL-8/","遠征","えんせい",""
"2022","QBh>KWya~&","革命","かくめい",""
"2023","o3g;Vvmg]&","浴衣","ゆかた",""
"2024","ExwgS-M{xo","潮","しお",""
"2025","tT*c3VmrlM","薪","まき",""
"2026","OE*MaPgYu;","襟","えり",""
"2027","K?j,y[MWfP","編成","へんせい",""
"2028","F{Rq]JYCr3","帯","おび",""
"2029","e;({`O_`V6","月光","げっこう",""
"2030","oDZLe.pY(:","花壇","かだん",""
"2031","l$X>Lw!2I[","童貞","どうてい",""
"2032","QfWN-0hi+6","穏便","おんびん",""
"2033","Cy0_[kSmfu","細胞","さいぼう",""
"2034","GXXfC:9-j&","感慨","かんがい",""
"2035","""pbIjT,#cZf""","恋心","こいごころ",""
"2036","K_GGr<MFb&","司る","つかさどる",""
"2037","tw2Q_<EZ(Z","十日","とおか",""
"2038","e^u+2_z*xp","混む","こむ",""
"2039","Pa//nc0EQ-","悪寒","おかん",""
"2040","x1eu.]89&+","虹","にじ",""
"2041","qS7+<K4Nwd","勇敢","ゆうかん",""
"2042","f)HsF?AJYT","渇く","かわく",""
"2043","""Q7nx76M2/#""","巧み","たくみ",""
"2044","gd/}mV!&J!","項垂れる","うなだれる",""
"2045","Kz%SKRYd_a","最早","もはや",""
"2046","f_!H1r4di6","記述","きじゅつ",""
"2047","I_^Xrh;1Sw","竹","たけ",""
"2048","H[B[wx3n:;","癒える","いえる",""
"2049","QoX$F565_O","審判","しんぱん",""
"2050","Gc3n^+iUCx","恭しい","うやうやしい",""
"2051","L^dJ~8hp9r","勤務","きんむ",""
"2052","Q/n1lzH|FW","火炎","かえん",""
"2053","""b*tR#@;d~u""","塾","じゅく",""
"2054","D~2f=5uhM","鍛冶","かじ",""
"2055","q~Cdmf?1V!","分際","ぶんざい",""
"2056","lSFc{cB:B?","戯言","たわごと",""
"2057","hAvhy]s+X*","恩返し","おんがえし",""
"2058","DEIF?:}h<y","狭間","はざま",""
"2059","u:$,m{;@4[","竜巻","たつまき",""
"2060","mz2eqGjf}U","宴会","えんかい",""
"2061","p1]j!6jjns","何千","なんぜん",""
"2062","kr_PnFH=[s","高揚","こうよう",""
"2063","z5pVn2={5<","鎮める","しずめる",""
"2064","eged]suVeq","愛でる","めでる",""
"2065","ctFX;!8.1+","次ぐ","つぐ",""
"2066","v*3tD6Ai1I","旋回","せんかい",""
"2067","bU?:RWr+VJ","ご無沙汰","ごぶさた",""
"2068","OLB6A|~2NL","軒","けん",""
"2069","Mj~FZAk+$1","衝撃波","しょうげきは",""
"2070","G1}YD0HrT3","言い難い","いいがたい",""
"2071","f0&jj]ZG1-","削ぐ","そぐ",""
"2072","kuZ1Tay?Gw","品物","しなもの",""
"2073","QTl*BjMVUu","粘る","ねばる",""
"2074","qx7~,ivv))","家臣","かしん",""
"2075","EMZ|Pv&Tf,","鶏","にわとり",""
"2076","tcGh:*<dS","ご覧になる","ごらんになる",""
"2077","t3P;Y.yR/2","疾走","しっそう",""
"2078","oWh7|i6mn~","愛想","あいそ",""
"2079","q3!:{t]{Tw","因果","いんが",""
"2080","N(:YbEL/U^","溝","みぞ",""
"2081","y(Itu|]2N_","寺","じ",""
"2082","HewbK|NsnL","掌握","しょうあく",""
"2083","B$5(uLo[sJ","か否か","かいなか",""
"2084","d{Y}-x$wA3","災厄","さいやく",""
"2085","nV0?rR.}!_","交じり","まじり",""
"2086","""JPF#!kG]_-""","身支度","みじたく",""
"2087","""DAW~RAQ#d}""","破綻","はたん",""
"2088","F?JYcAiXC:","労働","ろうどう",""
"2089","JYa6z2!ld.","需要","じゅよう",""
"2090","B&LDrhCG;)","虜","とりこ",""
"2091","""IBVU=dgQt#""","実る","みのる",""
"2092","bZl;_W@V:n","煮込む","にこむ",""
"2093","FRKlfw-7A;","潜伏","せんぷく",""
"2094","g$E1q9_cl%","仰け反る","のけぞる",""
"2095","Jglr>3xeGl","研ぎ澄ます","とぎすます",""
"2096","""qj/4cN95L#""","哀しい","かなしい",""
"2097","K`MI28l,55","赤毛","あかげ",""
"2098","A!BE+Ep3q_","紅潮","こうちょう",""
"2099","yBvfkt*j3N","食糧","しょくりょう",""
