E}GG|*t8}U	麗しい	うるわしい
cq)/xX}Y@c	駐車場	ちゅうしゃじょう
"Q#/u*4IT&f"	輸送	ゆそう
"cU#i+t{}[."	雄	おす
u$=`!;+VYf	十歳	じゅっさい
"NyqSjX#/M"	操縦	そうじゅう
"I#^q_!2VN("	粘膜	ねんまく
wS+6~6z{$8	店舗	てんぽ
gi`Hyqw(L9	狙撃	そげき
Hqjj8Qk1>_	心地良い	ここちよい
"m<po#9q~b-"	赤黒い	あかぐろい
qu4R^ejQ)a	燃料	ねんりょう
LV%@Hr[M1=	経済	けいざい
ud]-OJwI(c	十七	じゅうしち
QFrNke0v3-	今宵	こよい
"QE75WT*(2#"	焦点	しょうてん
"Nju3AE;U}#"	源	みなもと
r,0?m7(BVt	朗らか	ほがらか
QaI!m~Ke1D	潔い	いさぎよい
"bHIf#/Mmbl"	視る	みる
JD|N[|]3.^	懸ける	かける
P%d;p=SFaf	衰える	おとろえる
iq^2hL;G`T	増幅	ぞうふく
eG5IkM;n1E	子孫	しそん
z$Ws{(`r?@	木箱	きばこ
cALN1i^OJ.	中枢	ちゅうすう
H_]ZW1Ku;:	批判	ひはん
O<)RAe!;x<	速攻	そっこう
d5<$auwhO(	海岸	かいがん
CzY-E??U$Y	霧散	むさん
MKEcN/p3w2	畳	たたみ
EWBR6MZ`h1	携える	たずさえる
NA,CJ@1b6@	清々しい	すがすがしい
i6x/+v?|Hf	待ち伏せ	まちぶせ
hyzkd1Ea-F	殻	から
k[(BB,I>*+	悠長	ゆうちょう
fufKe^OM9!	荒野	こうや
"mIa6[VDmJ#"	下に	しもに
K:E!:B}m]{	歯車	はぐるま
H|cdtJV1NL	喪失	そうしつ
"Fa>VD0o!#3"	隅々	すみずみ
i~6_qBwH^`	真っ二つに	まっぷたつに
zz3<i0k*1`	隔てる	へだてる
P/^8C?6(}n	隠蔽	いんぺい
KvMMa$zEoH	修羅場	しゅらば
jU]E:I%c|6	煙草	たばこ
Nho|%3HT5|	記載	きさい
kRh3[:),0*	別荘	べっそう
zQmwL^Rg+|	生憎	あいにく
v83?~ob+6I	腕組み	うでぐみ
duDP[X}-F8	鋼鉄	こうてつ
EJk7zMHeTd	陥れる	おとしいれる
H&=i>M5azC	露わ	あらわ
th0gpnKZNS	嘲笑う	あざわらう
Ek!F?OL-8/	遠征	えんせい
QBh>KWya~&	革命	かくめい
o3g;Vvmg]&	浴衣	ゆかた
ExwgS-M{xo	潮	しお
tT*c3VmrlM	薪	まき
OE*MaPgYu;	襟	えり
K?j,y[MWfP	編成	へんせい
F{Rq]JYCr3	帯	おび
e;({`O_`V6	月光	げっこう
oDZLe.pY(:	花壇	かだん
l$X>Lw!2I[	童貞	どうてい
QfWN-0hi+6	穏便	おんびん
Cy0_[kSmfu	細胞	さいぼう
GXXfC:9-j&	感慨	かんがい
"pbIjT,#cZf"	恋心	こいごころ
K_GGr<MFb&	司る	つかさどる
tw2Q_<EZ(Z	十日	とおか
e^u+2_z*xp	混む	こむ
Pa//nc0EQ-	悪寒	おかん
x1eu.]89&+	虹	にじ
qS7+<K4Nwd	勇敢	ゆうかん
f)HsF?AJYT	渇く	かわく
"Q7nx76M2/#"	巧み	たくみ
gd/}mV!&J!	項垂れる	うなだれる
Kz%SKRYd_a	最早	もはや
f_!H1r4di6	記述	きじゅつ
I_^Xrh;1Sw	竹	たけ
H[B[wx3n:;	癒える	いえる
QoX$F565_O	審判	しんぱん
Gc3n^+iUCx	恭しい	うやうやしい
L^dJ~8hp9r	勤務	きんむ
Q/n1lzH|FW	火炎	かえん
"b*tR#@;d~u"	塾	じゅく
D~2f=5uhM	鍛冶	かじ
q~Cdmf?1V!	分際	ぶんざい
lSFc{cB:B?	戯言	たわごと
hAvhy]s+X*	恩返し	おんがえし
DEIF?:}h<y	狭間	はざま
u:$,m{;@4[	竜巻	たつまき
mz2eqGjf}U	宴会	えんかい
p1]j!6jjns	何千	なんぜん
kr_PnFH=[s	高揚	こうよう
z5pVn2={5<	鎮める	しずめる
eged]suVeq	愛でる	めでる
ctFX;!8.1+	次ぐ	つぐ
v*3tD6Ai1I	旋回	せんかい
bU?:RWr+VJ	ご無沙汰	ごぶさた
OLB6A|~2NL	軒	けん
Mj~FZAk+$1	衝撃波	しょうげきは
G1}YD0HrT3	言い難い	いいがたい
f0&jj]ZG1-	削ぐ	そぐ
kuZ1Tay?Gw	品物	しなもの
QTl*BjMVUu	粘る	ねばる
qx7~,ivv))	家臣	かしん
EMZ|Pv&Tf,	鶏	にわとり
tcGh:*<dS	ご覧になる	ごらんになる
t3P;Y.yR/2	疾走	しっそう
oWh7|i6mn~	愛想	あいそ
q3!:{t]{Tw	因果	いんが
N(:YbEL/U^	溝	みぞ
y(Itu|]2N_	寺	じ
HewbK|NsnL	掌握	しょうあく
B$5(uLo[sJ	か否か	かいなか
d{Y}-x$wA3	災厄	さいやく
nV0?rR.}!_	交じり	まじり
"JPF#!kG]_-"	身支度	みじたく
"DAW~RAQ#d}"	破綻	はたん
F?JYcAiXC:	労働	ろうどう
JYa6z2!ld.	需要	じゅよう
B&LDrhCG;)	虜	とりこ
"IBVU=dgQt#"	実る	みのる
bZl;_W@V:n	煮込む	にこむ
FRKlfw-7A;	潜伏	せんぷく
g$E1q9_cl%	仰け反る	のけぞる
Jglr>3xeGl	研ぎ澄ます	とぎすます
"qj/4cN95L#"	哀しい	かなしい
K`MI28l,55	赤毛	あかげ
A!BE+Ep3q_	紅潮	こうちょう
yBvfkt*j3N	食糧	しょくりょう
